Val[Epoch: [132], mean_loss: 0.4187, mIoU: 0.7890, Acc: 0.9071, Acc_class: 0.8633, fwIoU: 0.8302, RRecall: 0.9502, RNum: 5.2]
Val[Epoch: [133], mean_loss: 0.4185, mIoU: 0.7902, Acc: 0.9073, Acc_class: 0.8654, fwIoU: 0.8308, RRecall: 0.9560, RNum: 5.3]
Val[Epoch: [134], mean_loss: 0.4179, mIoU: 0.7905, Acc: 0.9077, Acc_class: 0.8646, fwIoU: 0.8313, RRecall: 0.9539, RNum: 5.2]
Val[Epoch: [135], mean_loss: 0.4175, mIoU: 0.7902, Acc: 0.9074, Acc_class: 0.8651, fwIoU: 0.8309, RRecall: 0.9528, RNum: 5.2]
Val[Epoch: [136], mean_loss: 0.4161, mIoU: 0.7934, Acc: 0.9088, Acc_class: 0.8679, fwIoU: 0.8334, RRecall: 0.9559, RNum: 5.2]
Val[Epoch: [137], mean_loss: 0.4175, mIoU: 0.7923, Acc: 0.9082, Acc_class: 0.8675, fwIoU: 0.8324, RRecall: 0.9566, RNum: 5.3]
Val[Epoch: [138], mean_loss: 0.4163, mIoU: 0.7939, Acc: 0.9090, Acc_class: 0.8684, fwIoU: 0.8337, RRecall: 0.9577, RNum: 5.3]
Val[Epoch: [139], mean_loss: 0.4163, mIoU: 0.7916, Acc: 0.9081, Acc_class: 0.8661, fwIoU: 0.8321, RRecall: 0.9536, RNum: 5.2]
Val[Epoch: [140], mean_loss: 0.4165, mIoU: 0.7912, Acc: 0.9080, Acc_class: 0.8653, fwIoU: 0.8319, RRecall: 0.9543, RNum: 5.3]
Val[Epoch: [141], mean_loss: 0.4150, mIoU: 0.7945, Acc: 0.9091, Acc_class: 0.8696, fwIoU: 0.8341, RRecall: 0.9560, RNum: 5.2]
Val[Epoch: [142], mean_loss: 0.4158, mIoU: 0.7956, Acc: 0.9094, Acc_class: 0.8712, fwIoU: 0.8348, RRecall: 0.9605, RNum: 5.3]
Val[Epoch: [143], mean_loss: 0.4148, mIoU: 0.7936, Acc: 0.9089, Acc_class: 0.8681, fwIoU: 0.8335, RRecall: 0.9549, RNum: 5.2]
